Hellquist Solveig
Kjellberg Bertil
Sandberg Gunnar
Berglund Rune
Norden Marie
Sundell Ola
Skold Jansson Camilla
Larsson Hakan
Lundberg Carin
Radstrom Britta
Lilja Lars
Gustavsson Lennart
Angstrom Yvonne
Abramsson Karl Gustav
Tjernberg Gunilla
Lofgren Ulla
Saarinen Ingegerd
Wibe Soren
Olofsson Maud
Klockare Lennart
Zakrisson Kristina
Ahlqvist Birgitta
Holma Siv
Eriksson Peter
Walivaara Erling
Astrom Karin
Gidblom Birgitta
Oberg Maria
Hammarbergh Krister
Gronlund Krantz Anna
